Installation ID,Installation Name,Installation Name (Clean),Company Name (MoE),Installation Address,First Verified Emissions Year,Last Verified Emissions Year,Main Activity Code,Main Activity Name
CZ-0252,Kongresové centrum Praha a.s.,Kongresové centrum Praha,,,2008,2017,20,Výroba elektřiny a tepla
CZ-0254,Kotelna a kogenerační jednotky v ÚVN Praha,Kotelna a kogenerační jednotky,Ústřední vojenská nemocnice – Vojenská fakultní nemocnice Praha,"U Vojenské nemocnice 1200, 16900",2008,2025,20,Výroba elektřiny a tepla
CZ-0406,Tereos TTD - Moravský Lihovar Kojetín kotelna,Moravský Lihovar Kojetín kotelna,,,2008,2019,20,Výroba elektřiny a tepla
CZ-0167,"Teplárna Liberec, a.s.",Teplárna Liberec,"Teplárna Liberec, a.s.","tř. Dr. Milady Horákové 641/34a, 46001 Liberec",2008,2025,20,Výroba elektřiny a tepla
CZ-0405,TS Vlašim plynová výtopna Pila,TS Vlašim plynová výtopna Pila,,,2008,2013,20,Výroba elektřiny a tepla
CZ-0409,TYLEX Letovice a.s.,TYLEX Letovice,,,2008,2016,20,Výroba elektřiny a tepla
CZ-0287,Silike keramika - provozovna Děčín,Provozovna Děčín,"Silike keramika, spol. s r.o.",,2008,2025,8,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0295,Cihelna Polom spol. s r.o.,Cihelna Polom,"Cihelna Polom, spol. s r.o.",,2008,2025,8,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0384,BRUDRA - Sdružení Teplárna Radotín,Sdružení Teplárna Radotín,,,2008,2016,20,Výroba elektřiny a tepla
CZ-0365,"Best - Business, a. s. - provozovna Kunštát",Provozovna Kunštát,,,2008,2015,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0366,"Schiedel, závod Zliv",Závod Zliv,,,2008,2019,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0398,"Hanácká p.s., Cukrovar Prosenice",Cukrovar Prosenice,,,2008,2024,20,Výroba elektřiny a tepla
CZ-0283,"ENERGY U/L, a.s., kotelna",Kotelna,"ENERGY Ústí nad Labem, a.s.","Žukovova 100, 400 03 Ústí nad Labem",2008,2025,1,Výroba elektřiny a tepla
CZ-0392,"OMGD, s.r.o., provozovna Kaznějov",Provozovna Kaznějov,,,2008,2014,20,Výroba elektřiny a tepla
CZ-0342,Tereos TTD - Cukrovar ČeskéMeziříčí,Cukrovar České Meziříčí,"Tereos TTD, a.s.","ul. Osvobození, 517 71 České Meziříčí",2008,2025,1,Výroba elektřiny a tepla
CZ-0360,Tereos TTD - Cukrovar Dobrovice,Cukrovar Dobrovice,"Tereos TTD, a.s.","Palackého náměstí 1, 294 41 Dobrovice",2008,2025,1,Výroba elektřiny a tepla
CZ-0397,"Synthomer, kotelna","Synthomer, kotelna",Synthomer a.s.,"Tovární 2093, 356 01 Sokolov",2008,2025,20,Výroba elektřiny a tepla
CZ-0415,GZ DIGITAL MEDIA a.s. - plynova kotelna,Plynová kotelna,,,2008,2015,20,Výroba elektřiny a tepla
CZ-0370,TEREA Cheb - Kotelna Hedvábnická,Kotelna Hedvábnická,,,2008,2014,20,Výroba elektřiny a tepla
CZ-0389,Energetické centrum s.r.o. - teplárna,Teplárna,,,2008,2017,20,Výroba elektřiny a tepla
CZ-0049,EOP Distribuce - Farářství,Farářství,"EOP Distribuce, a.s.","Jungmannova 15, 50002 Hradec Králové",2008,2020,20,Výroba elektřiny a tepla
