REGISTRY_CODE,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,INSTALLATION_NAME,IDENTIFIER_IN_REG,INSTALLATION_NAME_CLEAN,OPERATOR_NAME_CLEAN,OWNER_ASSIGNED,MAIN_ACTIVITY_TYPE_CODE,MAIN_ACTIVITY_TYPE_NAME,REAL_ACTIVITY,PERIOD_YEAR,VERIFIED_EMISSIONS,FREE_ALLOCATION (a+b+c),a_ALLOCATION,b_ALLOCATION_RESERVE,c_ALLOCATION_TRANSITIONAL
CZ,157,CZ-0243-05,Balsac papermill s.r.o. - Lukavice,Balsac papermill s.r.o. - Lukavice,Lukavice,Balsac papermill,JIVA Trade,36,Production of paper or cardboard,Papír,2021,9051,5571.0,5571,0,0
CZ,201865,CZ-0455-13,"BorsodChem MCHZ, s.r.o.",BorsodChem MCHZ,BorsodChem MCHZ,BorsodChem MCHZ,Wanhua,38,Production of nitric acid,Chemikálie a hnojiva,2021,150934,135442.0,135442,0,0
CZ,91,CZ-0158-05,C-Energy Planá - TTA 2,C-Energy Planá - TTA 2,TTA 2,C-Energy Planá,C-Energy,20,Combustion of fuels,Výroba elektřiny a tepla,2021,456,100.0,100,0,0
CZ,307,CZ-0282-05,C-Energy Planá - Teplárna,C-energy s.r.o.,Teplárna,C-Energy Planá,C-Energy,20,Combustion of fuels,Výroba elektřiny a tepla,2021,106473,8496.0,8496,0,0
CZ,50,CZ-0098-05,C-Energy Planá - kotelna TTA 1,C-Energy - TTA 1,Kotelna TTA 1,C-Energy Planá,C-Energy,20,Combustion of fuels,Výroba elektřiny a tepla,2021,13002,5604.0,5604,0,0
CZ,333,CZ-0301-05,CARMEUSE CZECH REPUBLIC s.r.o. - Vápenka Mokrá,CARMEUSE - Vápenka Mokrá,Vápenka Mokrá,CARMEUSE CZECH REPUBLIC,CARMEUSE,30,"Production of lime, or calcination of dolomite/magnesite",Cement a vápno,2021,79783,65638.0,65638,0,0
CZ,342,CZ-0381-05,"CEMEX Czech Republic, s.r.o.","CEMEX Czech Republic, s.r.o.",CEMEX Czech Republic,CEMEX Czech Republic,Cemex,29,Production of cement clinker,Cement a vápno,2021,545223,510994.0,510994,0,0
CZ,108,CZ-0186-05,CEREPA a.s.,Symphony No. 9 s.r.o.,CEREPA,CEREPA,Cerepa,36,Production of paper or cardboard,Papír,2021,2958,958.0,958,0,0
CZ,155,CZ-0241-05,CRYSTALEX CZ - závod Nový Bor,CRYSTALEX - závod Nový Bor,Závod Nový Bor,CRYSTALEX CZ,BUGAT,7,Manufacture of glass,Sklo,2021,11042,7632.0,7632,0,0
CZ,284,CZ-0168-05,CRYSTALITE BOHEMIA a.s.,Crystal BOHEMIA a.s.,CRYSTALITE BOHEMIA ,Crystal BOHEMIA,Crystal BOHEMIA,31,Manufacture of glass,Sklo,2021,12377,9222.0,9222,0,0
CZ,201951,CZ-0457-13,"CS CABOT, spol. s r.o.","CS CABOT, spol. s r.o.",CS CABOT,CS CABOT,CABOT,37,Production of carbon black,Chemikálie a hnojiva,2021,71364,135867.0,135867,0,0
CZ,399,CZ-0427-06,Carthamus - Energoblok Domoradice,Carthamus - Energoblok Domoradice,Energoblok Domoradice,Carthamus,CARTHAMUS ,20,Combustion of fuels,Výroba elektřiny a tepla,2021,708,7311.0,7311,0,0
CZ,75,CZ-0136-05,Cement Hranice - rotační pec,Cement Hranice - rotační pec,Rotační pec,Cement Hranice,Buzzi,29,Production of cement clinker,Cement a vápno,2021,576696,474188.0,474188,0,0
CZ,95,CZ-0163-05,Centrální zdroj tepla,CZT Příbram,Centrální zdroj tepla,Centrální zdroj tepla,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,4322,5368.0,5368,0,0
