country,code,pop,gdp,gdp_ppp,ghg,electricity
Japan,JPN,125836021.0,5064872875604.59,5224854660312.75,1251375.9257273923,952.383696
Jordan,JOR,10203140.0,43697659275.3137,100159680184.33,33433.73016829767,19.68642
Kazakhstan,KAZ,18754440.0,169835426427.153,475184104445.235,371805.5968426773,96.9092933333333
Kenya,KEN,53771300.0,98842939649.1149,226938558732.216,96062.9736603096,11.6216666666666
Kiribati,KIR,119446.0,199573325.992705,273759149.655186,96.34194932233905,0.0301703333333333
"Korea, Democratic People's Republic of",PRK,25778815.0,,,44472.7415580445,15.7738933333333
"Korea, Republic of",KOR,51780579.0,1630525005469.11,2187804288646.73,743097.0328533591,546.438648
Kuwait,KWT,4270563.0,136196760180.976,209738507270.045,133230.73239878312,71.5356466666666
Kyrgyzstan,KGZ,6591600.0,7735976612.64163,31023828379.1452,21705.470261874376,13.6518066666666
Lao People's Democratic Republic,LAO,7275556.0,19136194848.6534,56791524519.7679,37175.555241412716,1.04599333333332
Latvia,LVA,1901548.0,33505185228.7067,56918073929.6795,12274.893509800777,7.582015034
Lebanon,LBN,6825442.0,33383246857.58,79509915895.4207,32713.110254178908,20.7147666666666
Lesotho,LSO,2142252.0,1844510137.67817,4884111495.91824,2971.71374491206,0.988168666666666
Liberia,LBR,5057677.0,2950000000.0,6847300196.90095,4368.445868630804,0.400333333333333
Libya,LBY,6871287.0,25418461532.2008,70652573031.2829,76966.67933626795,31.6946866666666
Lithuania,LTU,2794700.0,55887271833.0025,102655017499.143,22657.829814824,12.397247517
Luxembourg,LUX,632275.0,73263982103.0119,69715373265.5591,10424.9034782671,7.02452565999999
Macao,MAC,649342.0,55153707948.7021,35582597355.9276,2318.329960011497,5.97666666666666
Madagascar,MDG,27691019.0,13720634105.403,41817363232.2902,33887.34137675201,2.34807333333333
Malawi,MWI,19129955.0,11961848552.5977,28442000987.5355,12916.519721502282,1.43356366666666
Malaysia,MYS,32365998.0,336664444247.042,855600710188.499,329529.3898779814,161.524333333333
Maldives,MDV,540542.0,4030203166.77482,7053557779.80207,1860.7949147091815,0.622833333333333
Mali,MLI,20250834.0,17393761397.0805,44891507350.8169,40147.47248864657,3.70984333333333
Malta,MLT,525285.0,14647384607.604,20602803570.0884,1800.4671492997013,2.58281499999999
Marshall Islands,MHL,59194.0,239462200.0,236874014.379808,,0.0
Mauritania,MRT,4649660.0,7778525642.92883,23170281649.9836,13691.285642702225,0.8563
Mauritius,MUS,1265740.0,10914065306.2423,24643356052.4884,4987.97252489315,3.02268
Mexico,MEX,128932753.0,1076163316174.94,2306316947331.2,787184.6589905093,313.387395999999
"Micronesia, Federated States of",FSM,115021.0,408060600.0,394515963.268889,48.364296274977,0.0
"Moldova, Republic of",MDA,2617820.0,11914040905.2626,32263941126.8965,12375.242513936293,6.33285
Mongolia,MNG,3278292.0,13137128659.479,37604218259.9229,63367.59062850037,8.19680333333333
Morocco,MAR,36910558.0,112870591694.044,259417546571.777,102942.64406912006,37.4754993333333
Mozambique,MOZ,31255435.0,14021421105.9078,38415430632.9927,33875.7146883683,15.390156
Myanmar,MMR,54409794.0,76185586096.7974,247239277474.414,152702.43743126787,21.7041733333333
Namibia,NAM,2540916.0,10699926682.6513,22598432152.1472,12205.850723907732,4.64441333333333
Nauru,NRU,10834.0,118223430.124446,145609062.133635,4.0441803405800005,0.0386666666666666
Nepal,NPL,29136808.0,33657175561.329,110721784777.632,51707.789874702605,8.53236
Netherlands,NLD,17441139.0,912242335119.069,945476537988.344,197742.68230541525,122.600575737999
New Caledonia,NCL,271960.0,,,5554.226492875883,3.01951533333333
New Zealand,NZL,5084300.0,212482013605.047,215596659082.91,85680.0605124065,43.421783
Nicaragua,NIC,6624554.0,12621476263.8278,34978576405.2671,19624.652146082564,4.75854666666666
Niger,NER,24206636.0,13678234008.4714,28972379421.1939,35997.1580053145,1.99831333333333
Nigeria,NGA,206139587.0,432293776262.398,1013530914845.45,404984.84124439897,35.6692366666666
North Macedonia,MKD,2083380.0,12266949805.1436,33018279788.7243,9926.343425329977,7.4148
Northern Mariana Islands,MNP,57557.0,1182000000.0,,,0.0
Norway,NOR,5379475.0,362008956544.827,342058778307.572,71695.22149547562,132.059668
Oman,OMN,5106622.0,76331518668.5771,135790282200.391,122158.1861997559,36.9491333333333
Pakistan,PAK,220892331.0,263686552686.208,1021134610927.18,516135.08887590317,145.932750999999
Palau,PLW,18092.0,268354900.0,316324779.434827,1280.432496827675,0.0
